,importance
Nifty_Return,0.03781490681492382
Ret_Lag5,0.034168722632901105
USDINR_Return,0.033476523081570245
Vol_ratio_regime,0.03178256130818764
VIX_Return,0.031759512002271575
ATR_14,0.03091728061270581
Ret_Lag3,0.029807544742812726
Vol_20d,0.02939450696046165
Ret_Lag1,0.029187249256554897
CCI_20,0.029023704670782285
Ret_Lag2,0.02856411230429013
Ret_Lag4,0.028507888889772594
OBV_EMA,0.028357038518375982
Body_ATR,0.028172962258116083
Vol_Ratio,0.027969188356917463
WilliamsR,0.026815181790557044
Pct_from_52wL,0.026417877388865172
BB_width,0.026314468906603355
MACD_signal,0.02630598109059757
STOCHk,0.026302114883224825
Dist_EMA_200,0.026240441921178033
ROC_20,0.02612728095524784
Dist_EMA_21,0.025986137360416727
RSI_14,0.02552413319703122
MACD_hist,0.025501837551339192
ROC_5,0.025497854365042
BB_pctB,0.025353695264510676
ROC_10,0.024727453960304086
STOCHd,0.024653179047747987
Dist_EMA_50,0.024620870075380295
ATR_norm,0.024025401844308895
Dist_EMA_9,0.02366962894157535
VIX_level,0.023623829067745218
MACD_line,0.023499341381343037
RSI_7,0.0230879675621088
Pct_from_52wH,0.02280718925905135
Rupee_weak,0.003085077613728816
Green_candle,0.0028907173461491607
OBV_sig,0.002093745133935171
VIX_high_fear,0.0018517126962535393
MACD_cross,0.0012409861474546333
Above_EMA200,0.0011783342960793555
RSI_overbought,0.0008494122136665443
EMA_cross_9_21,0.0005812669239953752
RSI_oversold,0.00022317940391480424
