Window,Train Start,Test Start,Test End,Train Size,Test Size,Accuracy,AUC,Sharpe
Jun 2020 -> Dec 2020,2018-12,2020-06,2020-12,392,131,0.3511,0.4,0.0
Dec 2020 -> Jun 2021,2019-06,2020-12,2021-06,393,130,0.4615,0.5044,1.5816
Jun 2021 -> Dec 2021,2019-12,2021-06,2021-12,392,130,0.5231,0.4136,1.2875
Dec 2021 -> Jun 2022,2020-06,2021-12,2022-06,391,130,0.4231,0.5175,-0.7528
Jun 2022 -> Dec 2022,2020-12,2022-06,2022-12,390,130,0.4692,0.5396,1.0634
Dec 2022 -> Jun 2023,2021-06,2022-12,2023-06,390,130,0.5231,0.5687,-0.7832
Jun 2023 -> Dec 2023,2021-12,2023-06,2023-12,390,131,0.458,0.4481,-0.4572
Dec 2023 -> Jun 2024,2022-06,2023-12,2024-06,391,131,0.5344,0.4038,1.1447
Jun 2024 -> Dec 2024,2022-12,2024-06,2024-12,392,131,0.5115,0.5324,-0.8543
Dec 2024 -> Jun 2025,2023-06,2024-12,2025-06,393,130,0.5231,0.5113,-0.2635
Jun 2025 -> Dec 2025,2023-12,2025-06,2025-12,392,131,0.4885,0.5177,-2.5579
